movie,chapter,scene_counting,emotion,prediction
Harry Potter and the Philosopher's Stone,Doorstep Delivery,1,neutral,3
Harry Potter and the Philosopher's Stone,Doorstep Delivery,1,sadness,1
Harry Potter and the Philosopher's Stone,Doorstep Delivery,1,worry,5
Harry Potter and the Philosopher's Stone,Doorstep Delivery,1,surprise,2
Harry Potter and the Philosopher's Stone,Doorstep Delivery,1,love,1
Harry Potter and the Philosopher's Stone,Doorstep Delivery,1,happiness,1
Harry Potter and the Philosopher's Stone,The Vanishing Glass,2,love,4
Harry Potter and the Philosopher's Stone,The Vanishing Glass,2,neutral,4
Harry Potter and the Philosopher's Stone,The Vanishing Glass,2,relief,2
Harry Potter and the Philosopher's Stone,The Vanishing Glass,2,sadness,2
Harry Potter and the Philosopher's Stone,The Vanishing Glass,2,worry,4
Harry Potter and the Philosopher's Stone,The Vanishing Glass,2,fun,1
Harry Potter and the Philosopher's Stone,The Vanishing Glass,2,happiness,2
Harry Potter and the Philosopher's Stone,Letters from No One,3,love,1
Harry Potter and the Philosopher's Stone,Letters from No One,3,neutral,3
Harry Potter and the Philosopher's Stone,Letters from No One,3,relief,1
Harry Potter and the Philosopher's Stone,Letters from No One,3,sadness,1
Harry Potter and the Philosopher's Stone,Letters from No One,3,surprise,2
Harry Potter and the Philosopher's Stone,Letters from No One,3,worry,6
Harry Potter and the Philosopher's Stone,Letters from No One,3,hate,1
Harry Potter and the Philosopher's Stone,Letters from No One,3,fun,2
Harry Potter and the Philosopher's Stone,Keeper of the Keys,4,relief,1
Harry Potter and the Philosopher's Stone,Keeper of the Keys,4,neutral,6
Harry Potter and the Philosopher's Stone,Keeper of the Keys,4,happiness,3
Harry Potter and the Philosopher's Stone,Keeper of the Keys,4,sadness,2
Harry Potter and the Philosopher's Stone,Keeper of the Keys,4,surprise,3
Harry Potter and the Philosopher's Stone,Keeper of the Keys,4,hate,2
Harry Potter and the Philosopher's Stone,Keeper of the Keys,4,love,2
Harry Potter and the Philosopher's Stone,Keeper of the Keys,4,worry,3
Harry Potter and the Philosopher's Stone,Diagon Alley,5,happiness,2
Harry Potter and the Philosopher's Stone,Diagon Alley,5,worry,3
Harry Potter and the Philosopher's Stone,Diagon Alley,5,surprise,3
Harry Potter and the Philosopher's Stone,Diagon Alley,5,relief,1
Harry Potter and the Philosopher's Stone,Diagon Alley,5,neutral,10
Harry Potter and the Philosopher's Stone,Gringotts,6,worry,4
Harry Potter and the Philosopher's Stone,Gringotts,6,surprise,1
Harry Potter and the Philosopher's Stone,Gringotts,6,relief,1
Harry Potter and the Philosopher's Stone,Gringotts,6,love,1
Harry Potter and the Philosopher's Stone,Gringotts,6,neutral,3
Harry Potter and the Philosopher's Stone,Ollivanders,7,worry,1
Harry Potter and the Philosopher's Stone,Ollivanders,7,enthusiasm,1
Harry Potter and the Philosopher's Stone,Ollivanders,7,happiness,2
Harry Potter and the Philosopher's Stone,Ollivanders,7,surprise,2
Harry Potter and the Philosopher's Stone,The Boy Who Lived,8,sadness,1
Harry Potter and the Philosopher's Stone,The Boy Who Lived,8,neutral,3
Harry Potter and the Philosopher's Stone,The Boy Who Lived,8,worry,4
Harry Potter and the Philosopher's Stone,Platform 9¾,9,neutral,2
Harry Potter and the Philosopher's Stone,Platform 9¾,9,hate,1
Harry Potter and the Philosopher's Stone,Platform 9¾,9,relief,1
Harry Potter and the Philosopher's Stone,Platform 9¾,9,surprise,1
Harry Potter and the Philosopher's Stone,Platform 9¾,9,fun,1
Harry Potter and the Philosopher's Stone,Platform 9¾,9,enthusiasm,1
Harry Potter and the Philosopher's Stone,Platform 9¾,9,worry,1
